Image,GT_Result
Im310_g_ACRIMA.jpg,Glaucomatous
Im311_g_ACRIMA.jpg,Glaucomatous
Im312_g_ACRIMA.jpg,Glaucomatous
Im313_g_ACRIMA.jpg,Glaucomatous
Im314_g_ACRIMA.jpg,Glaucomatous
Im315_g_ACRIMA.jpg,Glaucomatous
Im316_g_ACRIMA.jpg,Glaucomatous
Im317_g_ACRIMA.jpg,Glaucomatous
Im318_g_ACRIMA.jpg,Glaucomatous
Im319_g_ACRIMA.jpg,Glaucomatous
Im320_g_ACRIMA.jpg,Glaucomatous
Im321_g_ACRIMA.jpg,Glaucomatous
Im322_g_ACRIMA.jpg,Glaucomatous
Im323_g_ACRIMA.jpg,Glaucomatous
Im324_g_ACRIMA.jpg,Glaucomatous
Im325_g_ACRIMA.jpg,Glaucomatous
Im326_g_ACRIMA.jpg,Glaucomatous
Im327_g_ACRIMA.jpg,Glaucomatous
Im328_g_ACRIMA.jpg,Glaucomatous
Im329_g_ACRIMA.jpg,Glaucomatous
Im330_g_ACRIMA.jpg,Glaucomatous
Im331_g_ACRIMA.jpg,Glaucomatous
Im332_g_ACRIMA.jpg,Glaucomatous
Im333_g_ACRIMA.jpg,Glaucomatous
Im334_g_ACRIMA.jpg,Glaucomatous
Im335_g_ACRIMA.jpg,Glaucomatous
Im336_g_ACRIMA.jpg,Glaucomatous
Im337_g_ACRIMA.jpg,Glaucomatous
Im338_g_ACRIMA.jpg,Glaucomatous
Im339_g_ACRIMA.jpg,Glaucomatous
Im340_g_ACRIMA.jpg,Glaucomatous
Im341_g_ACRIMA.jpg,Glaucomatous
Im342_g_ACRIMA.jpg,Glaucomatous
Im343_g_ACRIMA.jpg,Glaucomatous
Im344_g_ACRIMA.jpg,Glaucomatous
Im345_g_ACRIMA.jpg,Glaucomatous
Im346_g_ACRIMA.jpg,Glaucomatous
Im347_g_ACRIMA.jpg,Glaucomatous
Im348_g_ACRIMA.jpg,Glaucomatous
Im349_g_ACRIMA.jpg,Glaucomatous
